id_origin,id_destinity,lat_origin,lon_origin,lat_destiniy,lon_destinity,cluster,origin,destinity,meters,secs,hours,kilometers,cost
10000002,10000002,38.34425,-0.48628299999999997,38.34425,-0.48628299999999997,1,"Carrer Girona, 20, 03001 Alacant, Alicante, Spain","Carrer Girona, 20, 03001 Alacant, Alicante, Spain",0,0,0.0,0.0,0.0
10000002,70,38.34425,-0.48628299999999997,38.7027015,-0.47822209999999993,1,"Carrer Girona, 20, 03001 Alacant, Alicante, Spain","Carrer Góngora, 11, 03803 Alcoi, Alicante, Spain",70283,3104,0.9788888888888889,70.283,41.47
10000002,71,38.34425,-0.48628299999999997,38.342614700000006,-0.508632,1,"Carrer Girona, 20, 03001 Alacant, Alicante, Spain","Plaça de Florida-la Vinya, 4, 03007 Alacant, Alicante, Spain",3365,790,0.33611111111111114,3.365,10.08
10000002,72,38.34425,-0.48628299999999997,38.3399926,-0.49263959999999996,1,"Carrer Girona, 20, 03001 Alacant, Alicante, Spain","Carrer Italia, 30, 03003 Alacant, Alicante, Spain",1124,303,0.20083333333333334,1.124,5.85
10000002,86,38.34425,-0.48628299999999997,38.2811434,-0.7054018999999999,1,"Carrer Girona, 20, 03001 Alacant, Alicante, Spain","Partida Carrus, 1006, 03206, Alicante, Spain",25237,1454,0.5205555555555555,25.237,19.62
10000002,92,38.34425,-0.48628299999999997,38.238187100000005,-1.4199821000000001,1,"Carrer Girona, 20, 03001 Alacant, Alicante, Spain","Calle Carreterica Posete, 6, 30530 Cieza, Murcia, Spain",110697,4359,1.3275,110.697,59.31
10000002,97,38.34425,-0.48628299999999997,39.0025916,-1.8659428,1,"Carrer Girona, 20, 03001 Alacant, Alicante, Spain","Calle Granada, 68, 02005 Albacete, Spain",172192,6375,1.8875,172.192,87.29
10000002,99,38.34425,-0.48628299999999997,38.50940870000001,-1.691513,1,"Carrer Girona, 20, 03001 Alacant, Alicante, Spain","Av. Poeta Mariano Tomás, 63, 02400 Hellín, Albacete, Spain",150991,5755,1.7152777777777777,150.991,78.23
70,70,38.7027015,-0.47822209999999993,38.7027015,-0.47822209999999993,1,"Carrer Góngora, 11, 03803 Alcoi, Alicante, Spain","Carrer Góngora, 11, 03803 Alcoi, Alicante, Spain",0,0,0.0,0.0,0.0
70,71,38.7027015,-0.47822209999999993,38.342614700000006,-0.508632,1,"Carrer Góngora, 11, 03803 Alcoi, Alicante, Spain","Plaça de Florida-la Vinya, 4, 03007 Alacant, Alicante, Spain",62872,2901,0.9225,62.872,38.4
70,72,38.7027015,-0.47822209999999993,38.3399926,-0.49263959999999996,1,"Carrer Góngora, 11, 03803 Alcoi, Alicante, Spain","Carrer Italia, 30, 03003 Alacant, Alicante, Spain",63938,2979,0.9441666666666667,63.938,39.22
70,86,38.7027015,-0.47822209999999993,38.2811434,-0.7054018999999999,1,"Carrer Góngora, 11, 03803 Alcoi, Alicante, Spain","Partida Carrus, 1006, 03206, Alicante, Spain",72587,3083,0.9730555555555556,72.587,41.76
70,92,38.7027015,-0.47822209999999993,38.238187100000005,-1.4199821000000001,1,"Carrer Góngora, 11, 03803 Alcoi, Alicante, Spain","Calle Carreterica Posete, 6, 30530 Cieza, Murcia, Spain",158190,6011,1.7863888888888888,158.19,81.66
70,97,38.7027015,-0.47822209999999993,39.0025916,-1.8659428,1,"Carrer Góngora, 11, 03803 Alcoi, Alicante, Spain","Calle Granada, 68, 02005 Albacete, Spain",166446,6103,1.8119444444444444,166.446,84.02
70,99,38.7027015,-0.47822209999999993,38.50940870000001,-1.691513,1,"Carrer Góngora, 11, 03803 Alcoi, Alicante, Spain","Av. Poeta Mariano Tomás, 63, 02400 Hellín, Albacete, Spain",140511,6354,1.8816666666666666,140.511,80.79
71,71,38.342614700000006,-0.508632,38.342614700000006,-0.508632,1,"Plaça de Florida-la Vinya, 4, 03007 Alacant, Alicante, Spain","Plaça de Florida-la Vinya, 4, 03007 Alacant, Alicante, Spain",0,0,0.0,0.0,0.0
71,72,38.342614700000006,-0.508632,38.3399926,-0.49263959999999996,1,"Plaça de Florida-la Vinya, 4, 03007 Alacant, Alicante, Spain","Carrer Italia, 30, 03003 Alacant, Alicante, Spain",2946,640,0.29444444444444445,2.946,8.83
71,86,38.342614700000006,-0.508632,38.2811434,-0.7054018999999999,1,"Plaça de Florida-la Vinya, 4, 03007 Alacant, Alicante, Spain","Partida Carrus, 1006, 03206, Alicante, Spain",23255,1203,0.4508333333333333,23.255,17.27
71,92,38.342614700000006,-0.508632,38.238187100000005,-1.4199821000000001,1,"Plaça de Florida-la Vinya, 4, 03007 Alacant, Alicante, Spain","Calle Carreterica Posete, 6, 30530 Cieza, Murcia, Spain",108715,4108,1.2577777777777779,108.715,56.96
71,97,38.342614700000006,-0.508632,39.0025916,-1.8659428,1,"Plaça de Florida-la Vinya, 4, 03007 Alacant, Alicante, Spain","Calle Granada, 68, 02005 Albacete, Spain",170210,6124,1.8177777777777777,170.21,84.94
71,99,38.342614700000006,-0.508632,38.50940870000001,-1.691513,1,"Plaça de Florida-la Vinya, 4, 03007 Alacant, Alicante, Spain","Av. Poeta Mariano Tomás, 63, 02400 Hellín, Albacete, Spain",149009,5504,1.6455555555555557,149.009,75.88
72,72,38.3399926,-0.49263959999999996,38.3399926,-0.49263959999999996,1,"Carrer Italia, 30, 03003 Alacant, Alicante, Spain","Carrer Italia, 30, 03003 Alacant, Alicante, Spain",0,0,0.0,0.0,0.0
72,86,38.3399926,-0.49263959999999996,38.2811434,-0.7054018999999999,1,"Carrer Italia, 30, 03003 Alacant, Alicante, Spain","Partida Carrus, 1006, 03206, Alicante, Spain",24658,1422,0.5116666666666667,24.658,19.26
