id_origin,lat_origin,lon_origin,address_origin,id_destinity,lat_destinity,lon_destinity,address_destinity,meters,seconds
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",2,24.7588889,51.2119444,"Unnamed Road, Umm Al Rumram، Qatar",131873.0,6437.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",3,24.8272222,51.3947222,"Al Wakrah Municipality, Qatar",126461.0,8419.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",4,24.9044444,51.175,"Al Kharrara Road، Al Kharrarah, Qatar",115952.0,5326.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",5,24.9961111,51.5488889,"Mesaieed City Rd, Umm Said, Qatar",107464.0,4380.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",6,25.01,51.0394444,"Al Karaana Road، Al Kir anah, Qatar",39921.0,1870.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",7,25.0308333,51.2752778,"Unnamed Road, Wadi Jallal, Qatar",97599.0,4454.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",8,25.0677778,51.0775,"Unnamed Road, Qatar",49292.0,2330.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",9,25.1,51.5166667,"Unnamed Road, Qatar",118027.0,5001.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",10,25.1033333,51.5216667,"Unnamed Road, Nabat al Usayl, Qatar",107701.0,4900.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",11,25.1219444,51.2183333,"Unnamed Road, Mukaynis, Qatar",63633.0,2634.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",12,25.1508333,51.5377778,"Al Meszhat St، Al Wukair, Qatar",104707.0,4501.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",13,25.1583333,51.1636111,"Unnamed Road, Qatar",70450.0,3715.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",14,25.1622222,51.2208333,"Unnamed Road, Qatar",66398.0,2855.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",15,25.1677778,51.6069444,"Al Wakra Main Street، Al Wakrah, Qatar",108944.0,4500.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",16,25.1688889,51.0863889,"Unnamed Road, Qatar",67549.0,2878.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",17,25.1738889,51.2694444,"Unnamed Road, Abū Nakẖlah, Qatar",71078.0,2957.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",18,25.2108333,51.3941667,"Unnamed Road, Ar Rayyan, Qatar",86317.0,3670.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",19,25.2113889,51.6191667,"Unnamed Road, Doha, Qatar",115269.0,5180.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",20,25.2141667,50.8072222,"Dukhan - Umm Bab Hwy, Umm Bab, Qatar",67159.0,3032.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",21,25.2144444,51.3788889,"Unnamed Road, Ar Rayyan, Qatar",82852.0,3518.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",22,25.2233333,51.4516667,"Ain Khaled Souq, Ain Khaled St, Doha, Qatar",88837.0,3671.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",23,25.2241667,51.1744444,"Al Rayyan Municipality, Qatar",84102.0,3759.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",24,25.2333333,51.3333333,"Unnamed Road, Qatar",82077.0,3606.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",25,25.2341667,51.2030556,"Rawdat Rashid, Rawdat Rasid, Qatar",81007.0,3527.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",26,25.2355556,51.33,"Unnamed Road, Qatar",82223.0,3624.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",27,25.2355556,51.4955556,"Wadi Al Faida St، Doha, Qatar",94131.0,4030.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",28,25.2427778,51.4288889,"المسك، Ar Rayyan, Qatar",89778.0,3788.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",29,25.2430556,51.4525,"Al Alaa Bin Wahb St، Doha, Qatar",91665.0,3832.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",30,25.2525,51.5591667,"Jaffar Bin Abi Talib St, Doha, Qatar",102048.0,4743.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",31,25.2538889,51.5352778,"D Ring Rd, Doha, Qatar",97676.0,4233.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",32,25.2538889,51.5497222,"Sabta St، Doha, Qatar",101792.0,4667.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",33,25.2569444,51.3988889,"Muaither S St، Ar Rayyan, Qatar",89533.0,3953.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",34,25.2636111,51.5163889,"القيروان، Doha, Qatar",96363.0,4078.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",35,25.2658333,51.5452778,"Navigation Plaza, Al Sahib Bin Abbad St, Doha, Qatar",99218.0,4490.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",36,25.2666667,50.9691667,"Unnamed Road, Al Kharsaah, Qatar",86900.0,3904.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",37,25.2666667,51.4833333,"Al Saad Sports Club Compound , Doha Qatar.، Next to Al Bateel Travels، Doha, Qatar",95888.0,4089.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",38,25.2705556,51.5327778,"Aasim Bin Ali St, Doha, Qatar",98421.0,4396.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",39,25.2708333,51.5058333,"Mousa Bin Younis St، Doha, Qatar",95721.0,4047.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",40,25.2708333,51.5230556,"Al Jamaeya St, Doha, Qatar",97078.0,4198.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",41,25.2758333,51.5336111,"Mua'j Bin Jabl Mosque, Anas Bin Malik St, Doha, Qatar",98179.0,4359.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",42,25.2772222,51.5477778,"Umm Ghuwailina St, Doha, Qatar",99714.0,4538.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",43,25.2783333,51.5255556,"Umm Al Shebram St, Doha, Qatar",97040.0,4183.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",44,25.2783333,51.5413889,"MP Traders, Doha, Qatar",99101.0,4450.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",45,25.2791667,51.4455556,"Al Samriya St, Doha, Qatar",94206.0,4102.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",46,25.2811111,51.535,"607 Banks Street, Doha, Qatar",99366.0,4463.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",47,25.2813889,51.5125,"Al Washeej St، Doha, Qatar",96672.0,4203.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",48,25.2833333,51.5333333,"Parking Area, Doha, Qatar",98175.0,4474.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",49,25.2836111,51.5466667,"Yafa St, Doha, Qatar",99475.0,4584.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",50,25.2847222,51.5552778,"Ras Bu Abboud Street، Doha, Qatar",102707.0,4753.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",51,25.2861111,51.5041667,"Barwa Alsadd, C Ring Rd, Doha, Qatar",97882.0,4328.0
1,24.7483333,50.84,"Unnamed Road, As Salwa, Qatar",52,25.2861111,51.5341667,"7, Ali Bin Abdullah St, Doha, Qatar",98024.0,4405.0
